publishedAt,authorDisplayName,textDisplay,likeCount
2024-06-05T17:18:35Z,@user-rr6ej8sb3g,"Allahuakbar ,palestina 🇵🇸 merdeka seutuhnya, support kami seluruh rakyat Indonesia 🇮🇩 untuk kemerdekaan Palestina  akan selalu membara🔥",1
2024-06-05T17:13:57Z,@FITRYY633,"Aku sebelum mualaf sangat membenci palestina,ketika dulu aku ke israel baru aku tau agamaku kristen tidak di akui dan cerita orang&quot;disana palestina adalah teroris tapi pas ketemu orang palestina baru aku tau islam dan palestina adalah agama dan negara yang sangat baik,tulus dan mereka bukan teroris,alhamdulilah sekarang aku udah kembali ke islam",0
2024-06-05T16:49:57Z,@user-ww8tx5jo6o,yang herannya masih ada org indonesia yang mendukung kejahatan israel,0
2024-06-05T16:41:48Z,,"sebelum banyak komen, dipakai dulu hati nuraninya, habis itu baru bertindak 🙌🏻🙏🏻✨",1
2024-06-05T16:11:24Z,@avikalaila1161,"Saudara/i ku di palestina yg membela Palestina mudah2n yg masih pada hidup di sehatkan,kuatkan,sabarkan,tabahkan,bahagiakan,jdi org yg selalu beruntung moga merdeka alfatihah",0
2024-06-05T16:03:18Z,@deviesusanto7259,Piers Morgan sekarang aja nyerah ngikutin narasinya Israhell,0
2024-06-05T15:25:47Z,@iwanmabes1477,Berikan bantuan senjata untuk Palestina untuk mereka membela tanah air nya,0
2024-06-05T15:07:40Z,@iqohmaniez2430,Abu Ubaidah msih hdp gk om ded?,0
2024-06-05T14:31:37Z,@rakhmanbudiaji1293,Semoga Alloh kuatkan ALLOOHUMMNSHURIL MUJAAHIDIIN FII FALESTHIIIN,0
2024-06-05T14:26:11Z,@MrPrimasanjaya,"Ingat Allah tidak punya mata, hati hati kasih judul",0
2024-06-05T14:25:39Z,@renopurwanto368,"mengutuk israel boleh, tapi boikot yang merugikan saudara kita di indonesia, saya tidak setuju. selagi efek negatifnya tidak ada solusi. kebayang kalau karyawan kfc, mcd, buruh pabrik komoditas apa kek yang di boikot itu semua nganggur, mereka mau apa? ada yang mau ngasih kerjaan? ada yang mau nanggung kebutuhan keluarganya?<br>di beranda saya yang sibuk nge boikot itu cuma istri yang suaminya kerja nya ceramah atau ngajar, atau PNS atau pekerja yang gajinya dari pajak, mereka lupa, itu di pajaknya ada bayaran dari usaha yang di boikot. apa mereka tau susahnya nyari kerja??? tidak.<br>mereka enak, semua di tutup, masih terima gaji dari negara, cocote sembarangan.",0
2024-06-05T14:15:07Z,@Thewidyawans,"Moso’ seh, Om Deddy beneran ga tau? Soal pabrik kulit dan organ tubuh di Israel ? Sampean awu2 yo om",0
2024-06-05T14:07:47Z,@Julidfisabililah,"Dari zaman Soekarno presiden ri pertama sampai pak Jokowi dan sebentar lagi pak Prabowo,! Indonesia akan tetap semangat dan Istiqomah untuk mendukung kemerdekaan Palestina 🇵🇸",1
2024-06-05T13:57:23Z,@jamalludin_oficial8615,Sehat selalu ustadz Husain Gaza,0
2024-06-05T13:30:56Z,@rizalrifki9589,"Saat ini teodor herzel yang membentuk zionis sedang mendapat siksa yang sangat pedih di alam barzah. <br>Pernah dicegah oleh Sultan Hamid 2 (sultan terakhir) Turki ketika teodor herzel menginginkan tanah di Palestina. Setelah meninggalnya sultan,  yahudi mulai menempati dan mencaplok tanah palestina dengan tamak dan tak ada puasnya",1
2024-06-05T13:00:32Z,@nurulfitriofficial59,I sad 😢,0
2024-06-05T12:53:40Z,@franciscofrancisca-pw6xw,knp ga bahas Hamas ya?,1
2024-06-05T12:41:34Z,@andikjunet2618,"<a href=""https://www.youtube.com/watch?v=0cbvR_8Xtrk&amp;t=1580"">26:20</a> masih ada orang Indonesia yang punya sentimen negatif terhadap golongan tertentu menjadikannya buta dan tuli akan fakta.. faktanya genosida di palestina ini bukanlah permasalahan agama... Tapi masih ada orang indo yang seperti itu... mau seberapa logic alasan kita dalam mendebat mereka.. permasalahan mereka itu bukan sekedar di pikiran mereka.. tapi di hatinya... Sentimen mereka itu nyata ketika membaca komentar yang bela israel ngarahnya ke mana... Dan tentu saja yang dibilang om ded ada beberapa yang bayaran...",0
2024-06-05T12:35:16Z,@brullbiru4711,iya om ded.masih banyak orang indonesia yg pro israel.kan aneh dimana akal pikiran mereka?,0
